start,end,avg_speed
2018-08-14T10:40:00.000Z,2018-08-14T10:45:00.000Z,0.0
2018-08-15T23:30:00.000Z,2018-08-15T23:35:00.000Z,0.0
2018-08-16T06:10:00.000Z,2018-08-16T06:15:00.000Z,75.21
2018-08-16T18:20:00.000Z,2018-08-16T18:25:00.000Z,10.77
2018-08-17T18:00:00.000Z,2018-08-17T18:05:00.000Z,0.0
2018-08-13T20:30:00.000Z,2018-08-13T20:35:00.000Z,113.12
2018-08-14T20:30:00.000Z,2018-08-14T20:35:00.000Z,0.0
2018-08-16T05:35:00.000Z,2018-08-16T05:40:00.000Z,0.0
2018-08-16T20:30:00.000Z,2018-08-16T20:35:00.000Z,98.66
2018-08-16T22:05:00.000Z,2018-08-16T22:10:00.000Z,0.0
2018-08-14T06:05:00.000Z,2018-08-14T06:10:00.000Z,0.0
2018-08-16T15:00:00.000Z,2018-08-16T15:05:00.000Z,82.5
2018-08-17T00:50:00.000Z,2018-08-17T00:55:00.000Z,6.37
2018-08-17T06:50:00.000Z,2018-08-17T06:55:00.000Z,0.0
2018-08-17T15:45:00.000Z,2018-08-17T15:50:00.000Z,0.0
2018-08-16T07:15:00.000Z,2018-08-16T07:20:00.000Z,214.29
2018-08-16T10:45:00.000Z,2018-08-16T10:50:00.000Z,62.1
2018-08-17T01:45:00.000Z,2018-08-17T01:50:00.000Z,36.41
2018-08-17T09:50:00.000Z,2018-08-17T09:55:00.000Z,31.32
2018-08-14T04:45:00.000Z,2018-08-14T04:50:00.000Z,0.0
2018-08-14T08:45:00.000Z,2018-08-14T08:50:00.000Z,0.0
2018-08-16T17:05:00.000Z,2018-08-16T17:10:00.000Z,88.14
2018-08-13T21:10:00.000Z,2018-08-13T21:15:00.000Z,0.0
2018-08-17T14:05:00.000Z,2018-08-17T14:10:00.000Z,83.72
2018-08-17T00:45:00.000Z,2018-08-17T00:50:00.000Z,10.65
2018-08-17T17:55:00.000Z,2018-08-17T18:00:00.000Z,0.0
2018-08-16T16:00:00.000Z,2018-08-16T16:05:00.000Z,2.97
2018-08-16T22:55:00.000Z,2018-08-16T23:00:00.000Z,185.23
2018-08-14T08:20:00.000Z,2018-08-14T08:25:00.000Z,0.0
2018-08-16T12:15:00.000Z,2018-08-16T12:20:00.000Z,25.39
2018-08-17T16:25:00.000Z,2018-08-17T16:30:00.000Z,0.0
2018-08-16T08:40:00.000Z,2018-08-16T08:45:00.000Z,0.0
2018-08-16T09:30:00.000Z,2018-08-16T09:35:00.000Z,25.07
2018-08-17T02:20:00.000Z,2018-08-17T02:25:00.000Z,17.28
2018-08-13T20:55:00.000Z,2018-08-13T21:00:00.000Z,0.0
2018-08-16T17:20:00.000Z,2018-08-16T17:25:00.000Z,174.98
2018-08-14T05:10:00.000Z,2018-08-14T05:15:00.000Z,0.0
2018-08-16T11:45:00.000Z,2018-08-16T11:50:00.000Z,92.78
